p_sat,Rgo,Bo,Bg,Bw,Visc_o,Visc_g,Visc_w
3865,1700.032655,1.872184241,0.000688932,1.017138041,0.265986444,0.030223802,0.510786461
3915,1770.302737,1.905396148,0.000681438,1.017003954,0.255279285,0.031253515,0.512156615
3955,1650.559213,1.835761086,0.000655214,1.012937697,0.287901354,0.032464923,0.568470947
3955,1979.96694,2.013213345,0.000686876,1.018361022,0.222688723,0.030663741,0.495975001
3981,1901.873391,1.966698709,0.000667506,1.013977126,0.24624552,0.029295768,0.55233162
3992,2128.661178,2.093530145,0.000698805,1.021269945,0.19765582,0.030397862,0.465507749
3995,1843.182685,1.945702808,0.000685852,1.019142856,0.240108865,0.031336634,0.487182282
4088,2218.3492,2.121889951,0.000659533,1.014811008,0.20852409,0.030920505,0.539446978
4115,1961.861914,2.008055564,0.000683546,1.019706671,0.226405783,0.030008204,0.480795402
4115.025,1932.506327,1.978465566,0.000652718,1.014453687,0.243851718,0.032409076,0.544176171
4127,2328.631803,2.181932618,0.000668966,1.017588209,0.191122364,0.031469486,0.503993125
4133,2230.497991,2.135499132,0.000672848,1.018755667,0.197006601,0.032002561,0.490824138
4145,2258.48095,2.147083987,0.000667098,1.017537344,0.19828496,0.031659773,0.504484383
4161,2211.54734,2.13362592,0.000684128,1.020789568,0.194604334,0.030399029,0.469775021
4215,1754.517194,1.882589315,0.000629499,1.010873238,0.283701619,0.032182509,0.599430282
4217,2143.628015,2.078987627,0.000641409,1.013887695,0.220911871,0.033881986,0.55121035
4257,2390.830872,2.215503104,0.000666872,1.019297392,0.183067538,0.032149104,0.484512317
4271,2047.611909,2.017732506,0.000612735,1.009126984,0.242449192,0.036361491,0.631286116
4280,2436.86143,2.246618467,0.000677479,1.020748115,0.17641172,0.02970021,0.469839828
