p_sat,temperature,gamma_s,API,Rs,Bo_psat,Bg_psat,visc_o_psat,source,gamma_c,HGOR
2988.0,165.0,0.8754081876802025,44.0,1147.0,1.649,,0.368,PVT_Data,0.8659880356442842,False
2327.0,158.0,0.8943024523160763,41.7,734.0,1.4,,0.551,PVT_Data,0.8851820266513264,False
3841.696,161.0,0.8340793841536951,45.2,1908.0,1.98,,0.242,PVT_Data,0.8248591817873839,False
3452.0,175.0,0.8490435684647302,45.4,1446.0,1.777,,0.28531483083514203,PVT_Data,0.8396164175234283,False
2774.696,183.0,0.8890640301318268,43.58,1062.0,1.6372,,0.295,PVT_Data,0.879588251701967,False
2737.0,180.0,0.8897587548638132,44.1,1028.0,1.567,,0.405,PVT_Data,0.8801624178660042,False
2665.0,190.0,0.8986064094294209,42.1,875.9778633928637,1.5273526321529347,,0.53227,PVT_Data,0.889354183288709,False
2665.0,180.0,0.913909517434387,40.2,878.7158698529317,1.5162559439861154,,0.5262100000000001,PVT_Data,0.9049243973746817,False
2765.0,175.0,0.918018606410972,39.62,893.5058023045129,1.5156247720052562,,0.513,PVT_Data,0.9091233066850108,False
2665.0,125.0,1.0250941951674821,37.68,819.2574068129552,1.4500573550223188,,0.566,PVT_Data,1.015647730604079,False
2865.0,152.0,0.8870259788745304,41.82,1014.8050338327058,1.547963643919756,,0.553,PVT_Data,0.8779537290843191,False
3265.0,155.0,0.9136399802713756,41.4,1316.852053161312,1.7046470189183824,,0.4525,PVT_Data,0.904389376735977,False
3165.0,159.0,0.8629087514096058,44.21,1309.5712971320097,1.69395136437296,,0.4237,PVT_Data,0.8535787862967634,False
3215.0,155.0,0.907486002492093,40.6,1255.9824334889472,1.6861166770295233,,0.5424,PVT_Data,0.8984752595580964,False
3259.0,188.0,0.9249433431781553,45.1,1662.9066039752083,1.9659859874729206,,0.24250372633665854,PVT_Data,0.9147413200351582,False
2290.0,147.0,0.9219042712575778,41.9,926.6741670505162,1.5015039137706185,,0.41020653230299997,PVT_Data,0.9124572589435421,False
3478.0,189.0,0.9087847094258901,45.1,1669.824655779699,1.9542207314204327,,0.23524203840575,PVT_Data,0.8987609142324379,False
2656.22,161.0,0.9254754345998918,42.82548971294813,1078.8275574104816,1.60545129758015,,0.358630159207921,PVT_Data,0.9157823530900133,False
